"Ay(q), created by Plot Digitizer, 2.6.6"
"Date: 11/24/14, 10:56:27 PM"


42
q,Ay,yerr
0.102666,-1.50119,
0.120168,-1.48624,
0.195950,-1.28732,
0.221227,-1.25744,
0.287344,-1.19763,
0.404027,-1.10788,
0.532378,-1.00816,
0.662668,-0.893528,
0.785177,-0.778920,
0.915474,-0.679192,
1.00299,-0.614361,
1.06328,-0.574446,
1.12747,-0.554392,
1.18193,-0.549268,
1.24224,-0.559030,
1.31424,-0.598566,
1.35511,-0.633223,
1.39598,-0.677815,
1.43492,-0.737316,
1.47580,-0.801779,
1.51669,-0.886113,
1.56147,-0.975404,
1.61210,-1.07958,
1.65883,-1.18377,
1.70361,-1.27306,
1.74645,-1.36732,
1.79707,-1.46156,
1.84770,-1.56077,
1.89637,-1.63515,
1.95476,-1.71943,
2.01510,-1.78881,0.1
2.07932,-1.84327,
2.13186,-1.87789,
2.18050,-1.89266,0.15
2.22136,-1.89254,
2.26415,-1.88745,
2.31277,-1.85750,
2.36139,-1.80769,
2.41777,-1.73798,0.3
2.48387,-1.63843,
2.53636,-1.54886,0.35
2.59662,-1.45431,0.5
