"Ay(q), created by Plot Digitizer, 2.6.6"
"Date: 11/24/14, 11:03:23 PM"


50
q,Ay,
0.0605119,1.45944,
0.0857975,1.46945,
0.109133,1.48939,
0.132460,1.52920,
0.155790,1.56404,
0.190795,1.58898,
0.258873,1.61401,
0.361962,1.64908,
0.463105,1.68911,
0.593417,1.75407,
0.698447,1.79908,
0.795694,1.84903,
0.879326,1.89398,
0.966837,1.96378,
1.04657,2.02859,
1.11657,2.10827,
1.18657,2.17305,
1.25268,2.25769,
1.31490,2.32245,
1.34796,2.35732,
1.37908,2.37728,
1.40048,2.37734,
1.43161,2.36253,
1.45497,2.33279,
1.48222,2.28319,
1.50753,2.23855,
1.52895,2.19391,
1.56594,2.12943,
1.60293,2.05999,
1.65354,2.00549,
1.70414,1.96589,
1.75083,1.95112,
1.79363,1.94628,
1.84031,1.96132,
1.89282,2.00618,
1.98423,2.06108,
2.06396,2.13583,
2.12423,2.20058,
2.17285,2.24543,
2.23119,2.28037,
2.27593,2.29540,
2.31288,2.32035,
2.36927,2.39006,
2.42177,2.44485,
2.45289,2.45984,
2.48013,2.44502,
2.50543,2.42025,
2.53073,2.39549,
2.55993,2.36576,
2.58912,2.32611,
