"Ay(q), created by Plot Digitizer, 2.6.6"
"Date: 11/25/14, 2:17:34 PM"


26
q,Ay,
1.30520,2.27772,
1.37521,2.32263,
1.41801,2.32275,
1.45109,2.29304,
1.48030,2.23848,
1.52702,2.15416,
1.59127,2.04505,
1.64577,1.97566,
1.70415,1.92615,
1.74502,1.90143,
1.78978,1.85188,
1.86177,1.82228,
1.96680,1.87723,
2.03874,1.95692,
2.09513,2.03159,
2.14956,2.11123,
2.19623,2.15111,
2.25264,2.17114,
2.29738,2.18121,
2.33822,2.22106,
2.38098,2.29570,
2.41598,2.34051,
2.44904,2.35551,
2.48602,2.33575,
2.52884,2.27626,
2.59309,2.15225,
