"Ay(q), created by Plot Digitizer, 2.6.6"
"Date: 11/25/14, 2:17:34 PM"


26
q,Ay,
1.30711,2.33733,
1.37518,2.39714,
1.41992,2.39727,
1.45301,2.36259,
1.48415,2.32294,
1.52697,2.27835,
1.58536,2.19904,
1.64377,2.10482,
1.70218,1.98576,
1.74693,1.97595,
1.79168,1.96614,
1.85780,2.00608,
1.96671,2.07594,
2.03478,2.13574,
2.08922,2.19054,
2.14561,2.25032,
2.19423,2.28523,
2.25258,2.31024,
2.29537,2.33520,
2.34009,2.38500,
2.37897,2.43976,
2.41787,2.47465,
2.44899,2.47970,
2.49180,2.45499,
2.53071,2.44516,
2.59296,2.46024,
