"CS(q), created by Plot Digitizer, 2.6.6"
"Date: 11/25/14, 1:10:37 AM"


29
q,CS,
0.0700878,263.495,
0.0906720,84.0410,
0.120090,18.3135,
0.146653,10.6740,
0.179177,9.39779,
0.264970,10.6586,
0.401016,9.07961,
0.483821,7.73954,
0.587310,5.45203,
0.681919,3.60482,
0.794266,2.16654,
0.879995,1.34454,
1.03074,0.501783,
1.14601,0.212704,
1.24946,0.105684,
1.31152,0.0596480,
1.40905,0.0269473,
1.46225,0.0196068,
1.51250,0.0133891,
1.55684,0.0100571,
1.63075,0.00755157,
2.10674,0.000788774,
1.87615,0.00255935,
1.99440,0.00139841,
2.19542,0.000474200,
2.28410,0.000267550,
2.37868,0.000137237,
2.49692,6.60457e-05,
2.58855,3.72625e-05,
