A,E
90.000000,3.74198e-13	
89.896150,0.00152359	
89.792301,0.00609433	
89.688452,0.0137122 	
89.584603,0.0243771 	
89.480756,0.0380889 	
89.376908,0.0548475 	
89.273062,0.0746527 	
89.169218,0.0975044 	
89.065374,0.123402  	
88.961532,0.152346  	
88.857692,0.184336  	
88.753854,0.21937   	
88.650017,0.25745   	
88.546183,0.298575  	
88.442351,0.342744  	
88.338522,0.389956  	
88.234696,0.440212  	
88.130872,0.493511  	
88.027052,0.549852  	
87.923234,0.609234  	
87.819420,0.671658  	
87.715610,0.737122  	
87.611803,0.805627  	
87.508001,0.87717   	
87.404202,0.951752  	
87.300407,1.02937   	
87.196617,1.11003   	
87.092832,1.19372   	
86.989051,1.28045   	
86.885276,1.37021   	
86.781505,1.46301   	
86.677739,1.55884   	
86.573979,1.6577    	
86.470225,1.75959   	
86.366476,1.86451   	
86.262733,1.97246   	
86.158997,2.08344   	
86.055266,2.19745   	
85.951542,2.31448   	
85.847825,2.43453   	
85.744114,2.55761   	
85.640410,2.68371   	
85.536714,2.81283   	
85.433024,2.94497   	
85.329342,3.08013   	
85.225668,3.2183    	
85.122001,3.35949   	
85.018343,3.5037    	
84.914692,3.65091   	
84.811050,3.80114   	
84.707416,3.95438   	
84.603791,4.11062   	
84.500174,4.26988   	
84.396566,4.43213   	
84.292968,4.59739   	
84.189378,4.76566   	
84.085799,4.93692   	
83.982228,5.11118   	
83.878668,5.28844   	
83.775117,5.46869   	
83.671576,5.65194   	
83.568046,5.83817   	
83.464526,6.0274    	
83.361017,6.21962   	
83.257518,6.41482   	
83.154030,6.613     	
83.050554,6.81417   	
82.947088,7.01831   	
82.843634,7.22544   	
82.740191,7.43554   	
82.636760,7.64861   	
82.533341,7.86466   	
82.429934,8.08367   	
82.326540,8.30565   	
82.223157,8.5306    	
82.119787,8.75851   	
82.016430,8.98938   	
81.913085,9.22321   	
81.809754,9.46      	
81.706436,9.69974   	
81.603131,9.94243   	
81.499839,10.1881   	
81.396561,10.4367   	
81.293297,10.6882   	
81.190047,10.9427   	
81.086811,11.2001   	
80.983589,11.4604   	
80.880381,11.7237   	
80.777188,11.9899   	
80.674010,12.2591   	
80.570847,12.5311   	
80.467699,12.8061   	
80.364566,13.084    	
80.261448,13.3649   	
80.158346,13.6486   	
80.055260,13.9353   	
79.952189,14.2248   	
79.849134,14.5173   	
79.746096,14.8127   	
79.643074,15.111    	
79.540068,15.4121   	
79.437079,15.7162   	
79.334106,16.0232   	
79.231151,16.333    	
79.128212,16.6458   	
79.025291,16.9614   	
78.922387,17.2799   	
78.819500,17.6013   	
78.716632,17.9255   	
78.613781,18.2527   	
78.510948,18.5827   	
78.408133,18.9155   	
78.305336,19.2512   	
78.202558,19.5898   	
78.099798,19.9312   	
77.997057,20.2755   	
77.894335,20.6226   	
77.791632,20.9726   	
77.688948,21.3254   	
77.586284,21.681    	
77.483638,22.0395   	
77.381013,22.4008   	
77.278407,22.7649   	
77.175821,23.1319   	
77.073255,23.5017   	
76.970709,23.8743   	
76.868184,24.2497   	
76.765679,24.6279   	
76.663195,25.0089   	
76.560731,25.3927   	
76.458288,25.7793   	
76.355867,26.1687   	
76.253466,26.5609   	
76.151087,26.9559   	
76.048729,27.3536   	
75.946393,27.7542   	
75.844079,28.1575   	
75.741787,28.5636   	
75.639516,28.9724   	
75.537268,29.384    	
75.435042,29.7984   	
75.332839,30.2155   	
75.230658,30.6353   	
75.128500,31.0579   	
75.026364,31.4833   	
74.924252,31.9114   	
74.822163,32.3422   	
74.720097,32.7757   	
74.618055,33.212    	
74.516036,33.651    	
74.414041,34.0927   	
74.312069,34.5371   	
74.210122,34.9842   	
74.108199,35.4341   	
74.006299,35.8866   	
73.904425,36.3418   	
73.802574,36.7997   	
73.700749,37.2603   	
73.598948,37.7235   	
73.497172,38.1895   	
73.395421,38.6581   	
73.293695,39.1294   	
73.191994,39.6033   	
73.090319,40.0799   	
72.988669,40.5591   	
72.887045,41.041    	
72.785447,41.5256   	
72.683875,42.0127   	
72.582329,42.5025   	
72.480808,42.995    	
72.379315,43.49     	
72.277847,43.9877   	
72.176406,44.488    	
72.074992,44.9909   	
71.973605,45.4963   	
71.872244,46.0044   	
71.770911,46.5151   	
71.669605,47.0284   	
71.568326,47.5443   	
71.467074,48.0627   	
71.365850,48.5837   	
71.264654,49.1073   	
71.163485,49.6334   	
71.062345,50.1621   	
70.961232,50.6934   	
70.860147,51.2272   	
70.759091,51.7635   	
70.658063,52.3024   	
70.557064,52.8438   	
70.456093,53.3877   	
70.355151,53.9341   	
70.254237,54.4831   	
70.153353,55.0346   	
70.052498,55.5886   	
69.951672,56.145    	
69.850875,56.704    	
69.750108,57.2655   	
69.649370,57.8294   	
69.548662,58.3958   	
69.447983,58.9647   	
69.347335,59.5361   	
69.246716,60.1099   	
69.146127,60.6861   	
69.045569,61.2648   	
68.945041,61.846    	
68.844543,62.4296   	
68.744076,63.0156   	
68.643640,63.6041   	
68.543234,64.1949   	
68.442859,64.7882   	
68.342515,65.3839   	
68.242202,65.982    	
68.141921,66.5825   	
68.041670,67.1854   	
67.941451,67.7906   	
67.841263,68.3983   	
67.741107,69.0083   	
67.640983,69.6206   	
67.540890,70.2354   	
67.440830,70.8525   	
67.340801,71.4719   	
67.240804,72.0937   	
67.140840,72.7178   	
67.040908,73.3443   	
66.941008,73.973    	
66.841140,74.6041   	
66.741306,75.2375   	
66.641504,75.8732   	
66.541734,76.5112   	
66.441998,77.1515   	
66.342295,77.7941   	
66.242624,78.4389   	
66.142987,79.0861   	
66.043383,79.7355   	
65.943812,80.3871   	
65.844275,81.041    	
65.744772,81.6972   	
65.645302,82.3556   	
65.545865,83.0162   	
65.446463,83.6791   	
65.347094,84.3442   	
65.247760,85.0115   	
65.148459,85.681    	
65.049193,86.3527   	
64.949961,87.0266   	
64.850763,87.7027   	
64.751600,88.381    	
64.652471,89.0614   	
64.553377,89.744    	
64.454317,90.4288   	
64.355292,91.1157   	
64.256303,91.8048   	
64.157348,92.496    	
64.058428,93.1894   	
63.959543,93.8849   	
63.860693,94.5825   	
63.761879,95.2822   	
63.663100,95.984    	
63.564356,96.6879   	
63.465648,97.3939   	
63.366976,98.102    	
63.268339,98.8122   	
63.169738,99.5245   	
63.071173,100.239   	
62.972644,100.955   	
62.874151,101.674   	
62.775693,102.394   	
62.677272,103.117   	
62.578887,103.841   	
62.480539,104.568   	
62.382227,105.296   	
62.283951,106.027   	
62.185711,106.759   	
62.087509,107.494   	
61.989343,108.231   	
61.891213,108.969   	
61.793121,109.71    	
61.695065,110.452   	
61.597046,111.196   	
61.499065,111.943   	
61.401120,112.691   	
61.303212,113.441   	
61.205342,114.194   	
61.107509,114.948   	
61.009713,115.704   	
60.911955,116.462   	
60.814234,117.222   	
60.716551,117.983   	
60.618905,118.747   	
60.521297,119.512   	
60.423727,120.28    	
60.326194,121.049   	
60.228700,121.82    	
60.131243,122.593   	
60.033824,123.368   	
59.936444,124.144   	
59.839101,124.922   	
59.741796,125.703   	
59.644530,126.485   	
59.547302,127.269   	
59.450112,128.054   	
59.352961,128.841   	
59.255848,129.631   	
59.158774,130.422   	
59.061738,131.214   	
58.964741,132.009   	
58.867782,132.805   	
58.770862,133.603   	
58.673981,134.402   	
58.577139,135.204   	
58.480336,136.007   	
58.383571,136.812   	
58.286846,137.618   	
58.190159,138.426   	
58.093512,139.236   	
57.996904,140.048   	
57.900335,140.861   	
57.803805,141.676   	
57.707314,142.492   	
57.610863,143.31    	
57.514451,144.13    	
57.418078,144.951   	
57.321745,145.774   	
57.225452,146.599   	
57.129198,147.425   	
57.032983,148.253   	
56.936809,149.083   	
56.840673,149.913   	
56.744578,150.746   	
56.648522,151.58    	
56.552507,152.416   	
56.456531,153.253   	
56.360594,154.092   	
56.264698,154.932   	
56.168842,155.774   	
56.073026,156.617   	
55.977250,157.462   	
55.881513,158.308   	
55.785817,159.156   	
55.690161,160.005   	
55.594546,160.856   	
55.498970,161.708   	
55.403435,162.562   	
55.307940,163.417   	
55.212485,164.273   	
55.117071,165.131   	
55.021697,165.99    	
54.926364,166.851   	
54.831071,167.713   	
54.735818,168.577   	
54.640606,169.442   	
54.545435,170.308   	
54.450304,171.176   	
54.355213,172.045   	
54.260164,172.915   	
54.165155,173.787   	
54.070186,174.66    	
53.975259,175.534   	
53.880372,176.41    	
53.785526,177.287   	
53.690720,178.165   	
53.595956,179.045   	
53.501232,179.925   	
53.406549,180.808   	
53.311907,181.691   	
53.217306,182.576   	
53.122746,183.461   	
53.028227,184.349   	
52.933749,185.237   	
52.839312,186.126   	
52.744916,187.017   	
52.650560,187.909   	
52.556246,188.802   	
52.461973,189.697   	
52.367741,190.592   	
52.273551,191.489   	
52.179401,192.387   	
52.085292,193.286   	
51.991225,194.186   	
51.897199,195.087   	
51.803214,195.99    	
51.709270,196.893   	
51.615368,197.798   	
51.521506,198.703   	
51.427686,199.61    	
51.333907,200.518   	
51.240170,201.427   	
51.146474,202.337   	
51.052819,203.248   	
50.959205,204.16    	
50.865633,205.073   	
50.772102,205.987   	
50.678612,206.903   	
50.585164,207.819   	
50.491757,208.736   	
50.398391,209.654   	
50.305067,210.573   	
50.211784,211.493   	
50.118543,212.414   	
50.025343,213.336   	
49.932184,214.259   	
49.839067,215.183   	
49.745991,216.108   	
49.652956,217.034   	
49.559963,217.96    	
49.467012,218.888   	
49.374102,219.816   	
49.281233,220.745   	
49.188406,221.676   	
49.095620,222.607   	
49.002875,223.538   	
48.910172,224.471   	
48.817511,225.405   	
48.724890,226.339   	
48.632312,227.274   	
48.539774,228.21    	
48.447278,229.147   	
48.354824,230.084   	
48.262411,231.023   	
48.170039,231.962   	
48.077709,232.902   	
47.985420,233.842   	
47.893173,234.784   	
47.800967,235.726   	
47.708802,236.669   	
47.616679,237.612   	
47.524597,238.556   	
47.432557,239.501   	
47.340558,240.447   	
47.248600,241.393   	
47.156683,242.34    	
47.064808,243.287   	
46.972975,244.236   	
46.881182,245.185   	
46.789431,246.134   	
46.697722,247.084   	
46.606053,248.035   	
46.514426,248.986   	
46.422840,249.938   	
46.331296,250.891   	
46.239792,251.844   	
46.148330,252.797   	
46.056909,253.751   	
45.965529,254.706   	
45.874191,255.661   	
45.782894,256.617   	
45.691638,257.573   	
45.600423,258.53    	
45.509249,259.487   	
45.418116,260.445   	
45.327024,261.403   	
45.235974,262.362   	
45.144964,263.321   	
45.053996,264.281   	
44.963069,265.241   	
44.872182,266.201   	
44.781337,267.162   	
44.690533,268.124   	
44.599769,269.085   	
44.509047,270.047   	
44.418365,271.01    	
44.327725,271.973   	
44.237125,272.936   	
44.146566,273.9     	
44.056048,274.863   	
43.965571,275.828   	
43.875134,276.792   	
43.784738,277.757   	
43.694383,278.722   	
43.604069,279.688   	
43.513796,280.654   	
43.423563,281.62    	
43.333371,282.586   	
43.243219,283.553   	
43.153108,284.519   	
43.063037,285.487   	
42.973007,286.454   	
